TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
4,623849308,43.0381358,-76.1341275,100000,8,1,-1,4
4,2087841507,43.0767984,-76.1772284,100000,15,1,-1,4
5,623849308,43.0379778,-76.1340784,100000,8,1,-1,4
5,2087841507,43.0766944,-76.1770589,100000,15,1,-1,4
6,679269894,43.0380919,-76.1319349,100000,8,1,-1,4
6,1949350937,43.0452123,-76.2407464,100000,24,1,-1,4
6,2087841507,43.0765904,-76.1768895,100000,15,1,-1,4
6,623849308,43.0378199,-76.1340293,100000,8,1,-1,4
7,2087841507,43.0764863,-76.1767201,100000,15,1,-1,4
7,1949350937,43.045127,-76.2405585,100000,24,1,-1,4
7,623849308,43.0376619,-76.1339803,100000,8,1,-1,4
7,679269894,43.0379328,-76.1318933,100000,8,1,-1,4
8,679269894,43.0377736,-76.1318517,100000,8,1,-1,4
8,224215106,43.0381026,-76.1303845,100000,8,1,-1,4
8,2087841507,43.0763822,-76.1765508,100000,15,1,-1,4
8,623849308,43.0375039,-76.1339313,100000,8,1,-1,4
8,1949350937,43.0450416,-76.2403708,100000,24,1,-1,4
9,679269894,43.0376145,-76.1318102,100000,8,1,-1,4
9,623849308,43.0373459,-76.1338825,100000,8,1,-1,4
9,224215106,43.0381807,-76.130191,100000,8,1,-1,4
9,1949350937,43.0449562,-76.240183,100000,24,1,-1,4
9,2087841507,43.076278,-76.1763815,100000,15,1,-1,4
9,1138719497,43.080783,-76.1792429,100000,15,1,-1,4
10,224215106,43.0382588,-76.1299975,100000,8,1,-1,4
10,1949350937,43.0448708,-76.2399953,100000,24,1,-1,4
10,2087841507,43.0761738,-76.1762122,100000,15,1,-1,4
10,679269894,43.0374554,-76.1317688,100000,8,1,-1,4
10,1064534465,43.0798767,-76.1860793,999,-1,1,-1,4
10,1138719497,43.0806224,-76.1792715,100000,15,1,-1,4
10,623849308,43.0371879,-76.1338337,100000,8,1,-1,4
11,679269894,43.0372962,-76.1317274,100000,8,1,-1,4
11,2087841507,43.0760695,-76.176043,100000,15,1,-1,4
11,1949350937,43.0447852,-76.2398077,100000,24,1,-1,4
11,1138719497,43.0804617,-76.1793002,100000,15,1,-1,4
11,1064534465,43.0797147,-76.1860829,999,-1,1,-1,4
11,224215106,43.0383371,-76.129804,100000,8,1,-1,4
11,623849308,43.0370298,-76.133785,100000,8,1,-1,4
12,623849308,43.0368718,-76.1337363,100000,8,1,-1,4
12,1064534465,43.0795527,-76.1860865,999,-1,1,-1,4
12,2087841507,43.0759653,-76.1758739,100000,15,1,-1,4
12,224215106,43.0384153,-76.1296106,100000,8,1,-1,4
12,1949350937,43.0446997,-76.2396201,100000,24,1,-1,4
12,679269894,43.037137,-76.1316861,100000,8,1,-1,4
12,1138719497,43.0803011,-76.1793288,100000,15,1,-1,4
13,1949350937,43.044614,-76.2394326,100000,24,1,-1,4
13,1138719497,43.0801404,-76.1793575,100000,15,1,-1,4
13,679269894,43.0369779,-76.1316448,100000,8,1,-1,4
13,1120582546,43.0768924,-76.182568,999,-1,1,-1,4
13,224215106,43.0384937,-76.1294173,100000,8,1,-1,4
13,2087841507,43.0758609,-76.1757048,100000,15,1,-1,4
13,1064534465,43.0793907,-76.1860901,999,-1,1,-1,4
13,623849308,43.0367137,-76.1336877,100000,8,1,-1,4
14,1064534465,43.0792287,-76.1860937,999,-1,1,-1,4
14,1120582546,43.0767919,-76.1823947,999,-1,1,-1,4
14,623849308,43.0365557,-76.1336392,100000,8,1,-1,4
14,1949350937,43.0445284,-76.2392451,100000,24,1,-1,4
14,2087841507,43.0757566,-76.1755357,100000,15,1,-1,4
14,679269894,43.0368187,-76.1316036,100000,8,1,-1,4
14,224215106,43.0385722,-76.129224,100000,8,1,-1,4
14,1138719497,43.0799797,-76.179386,100000,15,1,-1,4
15,1949350937,43.0444426,-76.2390576,100000,24,1,-1,4
15,224215106,43.0386507,-76.1290308,100000,8,1,-1,4
15,623849308,43.0363976,-76.1335907,100000,8,1,-1,4
15,1138719497,43.0798191,-76.1794146,999,-1,1,-1,4
15,1064534465,43.0790667,-76.1860972,999,-1,1,-1,4
15,679269894,43.0366595,-76.1315624,100000,8,1,-1,4
15,1120582546,43.0766913,-76.1822214,999,-1,1,-1,4
15,2087841507,43.0756521,-76.1753667,100000,15,1,-1,4
16,224215106,43.0387293,-76.1288377,100000,8,1,-1,4
16,1120582546,43.0765907,-76.1820481,999,-1,1,-1,4
16,679269894,43.0365003,-76.1315213,100000,8,1,-1,4
16,960945330,43.0375484,-76.1328688,100000,8,1,-1,4
16,1949350937,43.0443568,-76.2388703,100000,24,1,-1,4
16,2087841507,43.0755477,-76.1751978,100000,15,1,-1,4
16,1064534465,43.0789047,-76.1861008,999,-1,1,-1,4
16,1138719497,43.0796584,-76.1794431,999,-1,1,-1,4
16,623849308,43.0362395,-76.1335423,100000,8,1,-1,4
17,960945330,43.0374471,-76.1326964,100000,8,1,-1,4
17,1110093574,43.0791778,-76.1838309,999,-1,1,-1,4
17,679269894,43.0363411,-76.1314803,100000,8,1,-1,4
17,1120582546,43.0764901,-76.1818749,999,-1,1,-1,4
17,1138719497,43.0794977,-76.1794717,999,-1,1,-1,4
17,1949350937,43.044271,-76.2386829,100000,24,1,-1,4
17,224215106,43.038808,-76.1286446,100000,8,1,-1,4
17,1064534465,43.0787427,-76.1861044,999,-1,1,-1,4
17,2087841507,43.0754432,-76.1750289,100000,15,1,-1,4
17,623849308,43.0360814,-76.133494,100000,8,1,-1,4
18,1064534465,43.0785807,-76.1861079,999,-1,1,-1,4
18,224215106,43.0388867,-76.1284515,100000,8,1,-1,4
18,2087841507,43.0753386,-76.17486,100000,15,1,-1,4
18,679269894,43.0361819,-76.1314393,100000,8,1,-1,4
