TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level
3,1559498101,43.0371196,-76.1311388,100000,8,1,-1,3
4,331529933,43.0793127,-76.1835598,999,-1,1,-1,3
4,1559498101,43.0369582,-76.1311198,100000,8,1,-1,3
5,331529933,43.0792072,-76.1833921,999,-1,1,-1,3
5,1559498101,43.0367968,-76.1311008,100000,8,1,-1,3
6,1559498101,43.0366354,-76.1310818,100000,8,1,-1,3
6,331529933,43.0791017,-76.1832243,999,-1,1,-1,3
7,1559498101,43.0364739,-76.1310628,100000,8,1,-1,3
7,331529933,43.0789961,-76.1830567,999,-1,1,-1,3
7,1038664843,43.0489423,-76.2372401,100000,24,1,-1,3
8,734137537,43.0371974,-76.1322487,100000,8,1,-1,3
8,291818514,43.0328112,-76.0248079,999,-1,1,-1,3
8,331529933,43.0788905,-76.182889,999,-1,1,-1,3
8,1038664843,43.0489065,-76.2370247,100000,24,1,-1,3
8,1559498101,43.0363125,-76.1310439,100000,8,1,-1,3
9,734137537,43.0371221,-76.1324443,100000,8,1,-1,3
9,291818514,43.0327874,-76.0250263,999,-1,1,-1,3
9,1559498101,43.0361511,-76.131025,100000,8,1,-1,3
9,1674002645,43.0483809,-76.2501515,999,-1,1,-1,3
9,331529933,43.0787849,-76.1827214,999,-1,1,-1,3
9,1038664843,43.0488706,-76.2368092,100000,24,1,-1,3
10,1038664843,43.0488346,-76.2365938,100000,24,1,-1,3
10,291818514,43.0327635,-76.0252448,999,-1,1,-1,3
10,1674002645,43.0483494,-76.2499348,999,-1,1,-1,3
10,734137537,43.0370467,-76.1326398,100000,8,1,-1,3
10,331529933,43.0786792,-76.1825539,999,-1,1,-1,3
10,1559498101,43.0359896,-76.1310061,100000,8,1,-1,3
11,291818514,43.0327395,-76.0254632,999,-1,1,-1,3
11,1674002645,43.0483178,-76.2497182,999,-1,1,-1,3
11,734137537,43.0369713,-76.1328353,100000,8,1,-1,3
11,331529933,43.0785735,-76.1823864,999,-1,1,-1,3
11,1038664843,43.0487987,-76.2363784,100000,24,1,-1,3
11,1559498101,43.0358282,-76.1309873,100000,8,1,-1,3
12,1674002645,43.0482862,-76.2495015,999,-1,1,-1,3
12,1559498101,43.0356668,-76.1309685,100000,8,1,-1,3
12,1038664843,43.0487628,-76.236163,100000,24,1,-1,3
12,734137537,43.0368958,-76.1330307,100000,8,1,-1,3
12,291818514,43.0327156,-76.0256817,999,-1,1,-1,3
12,331529933,43.0784677,-76.1822189,999,-1,1,-1,3
13,734137537,43.0368202,-76.1332261,100000,8,1,-1,3
13,1674002645,43.0482545,-76.2492848,999,-1,1,-1,3
13,291818514,43.0326917,-76.0259001,999,-1,1,-1,3
