Time_Step,UAV_ID,Latitude,Longitude,Old_X_speed,Old_Y_speed,X_speed,Y_speed,Conflict_UAV,Flag
5,44687204,43.0372176,-76.1343351,13.819851721117416,11.533069773756164,15.520195072621036,19.771044552322525,154338415,1
5,154338415,43.0376036,-76.1334929,-14.961540562089994,10.007612303088873,14.930958197735269,-19.855706886630493,44687204,1
6,154338415,43.0374692,-76.1337366,-14.964046246519873,10.003865249593009,14.88381345248991,-19.86450520988755,44687204,1
6,44687204,43.0370779,-76.1340924,13.816577748229822,11.536991779797736,15.554246552913469,19.780607354290183,154338415,1
21,592561633,43.0380142,-76.1300051,12.139545191083545,13.290276240682148,3.713795600346007,19.663156767853025,1082977386,1
30,938757348,43.0355486,-76.1321145,12.249851840648631,13.18867430343768,3.75223766675679,19.624567426675355,1965776457,1
31,1965776457,43.0349551,-76.1310801,-2.072793627264975,17.880255215705667,16.737042908457745,-10.938120641019427,938757348,1
31,938757348,43.0355148,-76.1318737,12.190062664240914,13.243956064631131,3.776628693162444,19.627661221602047,1965776457,1
32,938757348,43.0354808,-76.1316329,12.129352996545995,13.299578786005997,3.692313185240545,19.651008306708043,1965776457,1
32,1965776457,43.0348045,-76.1312143,-2.0339347078975365,17.88471720782886,16.785290267709687,-10.875678548411235,938757348,1
38,80641405,43.037886,-76.1304689,-1.4291639959659277,17.94317391858627,18.205099012671955,-8.273828349443543,1073171129,1
38,1073171129,43.0372203,-76.1306749,2.6903385294795017,17.797811061947986,15.187291705549121,13.01582746911937,80641405,1
48,872465224,43.0375434,-76.1321421,-0.4024012857535946,17.99550147134622,19.81246777789129,-15.271838495192867,1241234443,1
49,1241234443,43.0368294,-76.1328533,12.400138143966462,13.047473855522684,16.192910519140625,19.667402897181756,872465224,1
49,872465224,43.0373651,-76.1323295,-0.34150318000597496,17.9967601411489,19.89160533995089,-14.655752485129968,1241234443,1
50,1241234443,43.0366836,-76.1326119,12.384536649759106,13.062283566466222,3.643944861889339,19.665640099689202,872465224,1
50,872465224,43.037186,-76.1325093,-0.2825870709000431,17.997781656286428,19.923864842918647,-14.319997379640377,1241234443,1
63,466139496,43.0350854,-76.1296946,12.451369052256338,12.998592567063294,3.6041358663441314,19.670415278885194,415299401,1
64,1787933918,43.0373929,-76.134112,12.617386468391965,12.837505937963156,16.073067672078736,19.45994106147014,962317457,1
65,1787933918,43.0372482,-76.1338732,12.60513678712902,12.84953409963827,16.116334298725867,19.522640298939077,962317457,1
65,962317457,43.037582,-76.1311761,-15.46820395337491,9.205143478338444,14.649196679887826,-19.75325440737454,1787933918,1
66,962317457,43.0374502,-76.1314185,-15.47220848807898,9.198410976979492,14.616340765138112,-19.79974384130581,1787933918,1
66,1098461013,43.037248,-76.1347213,13.852967855553775,11.493271144151858,15.498993336309784,19.551157416580836,962317457,1
66,1787933918,43.0371031,-76.1336336,12.59257935543804,12.861840660535167,16.12990867980671,19.60383239552582,962317457,1
67,1354912731,43.0371675,-76.1326081,-0.5911546670431617,17.99029005212626,19.653233074969418,-3.6932204365094585,1787933918,1
67,1098461013,43.0371085,-76.1344814,13.850587717863993,11.49613934630905,15.51718250204737,19.586980207925237,962317457,1
67,962317457,43.0373186,-76.1316614,-15.476160550378841,9.191760148029196,14.621677035449466,-19.70065353930278,1787933918,1
67,962317457,43.0373186,-76.1316614,-15.476160550378841,9.191760148029196,14.621677035449466,-19.70065353930278,1098461013,1
67,1787933918,43.0369579,-76.133393,12.579541006502291,12.874593122337007,16.17770876399966,19.628030777345142,962317457,1
67,1787933918,43.0369579,-76.133393,12.579541006502291,12.874593122337007,16.17770876399966,19.628030777345142,1354912731,1
68,1098461013,43.0369688,-76.134241,13.84812327640346,11.499107866331752,15.554246552913469,19.68225153962778,962317457,1
68,1787933918,43.0368123,-76.1331522,12.566319595506528,12.887498276375776,16.074268477686516,19.658087064927216,962317457,1
68,1787933918,43.0368123,-76.1331522,12.566319595506528,12.887498276375776,16.074268477686516,19.658087064927216,1354912731,1
68,962317457,43.037187,-76.1319032,-15.480232974365087,9.184899948250923,14.622807718095029,-19.794265828334378,1787933918,1
