TimeStep,ID,Latitude,Longitude,finished
0,1,43.044676,-76.07443,1
10,1,43.044676,-76.07543000000001,1
20,1,43.044676,-76.07643,1
30,1,43.044676,-76.07743,1
40,1,43.044676,-76.07843000000001,1
50,1,43.044676,-76.07943,1
60,1,43.044676,-76.08043,1
70,1,43.044676,-76.08143000000001,1
80,1,43.044676,-76.08243,1
90,1,43.044676,-76.08343,1
100,1,43.044676,-76.08443000000001,1
110,1,43.044676,-76.08543,1
120,1,43.044676,-76.08643000000001,1
130,1,43.044676,-76.08743000000001,1
140,1,43.044676,-76.08843,1
150,1,43.044676,-76.08943000000001,1
160,1,43.044676,-76.09043000000001,1
170,1,43.044676,-76.09143,1
180,1,43.044676,-76.09243000000001,1
190,1,43.044676,-76.09343000000001,1
200,1,43.044676,-76.09443,1
210,1,43.044676,-76.09543000000001,1
220,1,43.044676,-76.09643000000001,1
230,1,43.044676,-76.09743,1
240,1,43.044676,-76.09843000000001,1
250,1,43.044676,-76.09943000000001,1
260,1,43.044676,-76.10043,1
270,1,43.044676,-76.10143000000001,1
280,1,43.044676,-76.10243000000001,1
290,1,43.044676,-76.10343,1
300,1,43.044676,-76.10443000000001,1
310,1,43.044676,-76.10543000000001,1
320,1,43.044676,-76.10643,1
330,1,43.044676,-76.10743000000001,1
340,1,43.044676,-76.10843000000001,1
350,1,43.044676,-76.10943,1
360,1,43.044676,-76.11043000000001,1
370,1,43.044676,-76.11143000000001,1
380,1,43.044676,-76.11243,1
390,1,43.044676,-76.11343000000001,1
400,1,43.044676,-76.11443000000001,1
410,1,43.044676,-76.11543,1
420,1,43.044676,-76.11643000000001,1
430,1,43.044676,-76.11743000000001,1
440,1,43.044676,-76.11843,1
450,1,43.044676,-76.11943000000001,1
460,1,43.044676,-76.12043000000001,1
470,1,43.044676,-76.12143,1
480,1,43.044676,-76.12243000000001,1
490,1,43.044676,-76.12343000000001,1
500,1,43.044676,-76.12443,1
510,1,43.044676,-76.12543000000001,1
520,1,43.044676,-76.12643000000001,1
530,1,43.044676,-76.12743,1
540,1,43.044676,-76.12843000000001,1
550,1,43.044676,-76.12943000000001,1
560,1,43.044676,-76.13043,1
570,1,43.044676,-76.13143000000001,1
580,1,43.044676,-76.13243000000001,1
590,1,43.044676,-76.13343,1
600,1,43.044676,-76.13443000000001,1
610,1,43.044676,-76.13543000000001,1
620,1,43.044676,-76.13643,1
630,1,43.044676,-76.13743000000001,1
640,1,43.044676,-76.13843,1
650,1,43.044676,-76.13943,1
660,1,43.044676,-76.14043000000001,1
670,1,43.044676,-76.14143,1
680,1,43.044676,-76.14243,1
690,1,43.044676,-76.14343000000001,1
700,1,43.044676,-76.14443,1
710,1,43.044676,-76.14543,1
720,1,43.044676,-76.14643000000001,1
730,1,43.044676,-76.14743,1
740,1,43.044676,-76.14843,1
750,1,43.044676,-76.14943000000001,1
760,1,43.044676,-76.15043,1
770,1,43.044676,-76.15143,1
780,1,43.044676,-76.15243000000001,1
790,1,43.044676,-76.15343,1
800,1,43.044676,-76.15443,1
810,1,43.044676,-76.15543000000001,1
820,1,43.044676,-76.15643,1
830,1,43.044676,-76.15743,1
840,1,43.044676,-76.15843000000001,1
850,1,43.044676,-76.15943,1
860,1,43.044676,-76.16043,1
870,1,43.044676,-76.16143000000001,1
880,1,43.044676,-76.16243,1
890,1,43.044676,-76.16343,1
900,1,43.044676,-76.16443000000001,1
910,1,43.044676,-76.16543,1
920,1,43.044676,-76.16643,1
930,1,43.044676,-76.16743000000001,1
940,1,43.044676,-76.16843,1
950,1,43.044676,-76.16943,1
960,1,43.044676,-76.17043000000001,1
970,1,43.044676,-76.17143,1
980,1,43.044676,-76.17243,1
990,1,43.044676,-76.17343000000001,-1
