TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,Level,Flag
1,2022820733,43.0765295,-76.1817752,999.0,-1,1,-1,2,-1
2,2022820733,43.0764028,-76.1816374,999.0,-1,1,-1,2,-1
3,699110051,43.0754912,-76.1863892,999.0,-1,1,-1,2,-1
3,2022820733,43.0762760,-76.1814997,999.0,-1,1,-1,2,-1
4,699110051,43.0753578,-76.1862637,999.0,-1,1,-1,2,-1
4,2022820733,43.0761493,-76.1813620,999.0,-1,1,-1,2,-1
5,699110051,43.0752244,-76.1861382,999.0,-1,1,-1,2,-1
5,2022820733,43.0760225,-76.1812244,999.0,-1,1,-1,2,-1
5,1264906701,43.0375516,-76.1299701,100000.0,8,1,-1,2,-1
6,1264906701,43.0373912,-76.1299387,100000.0,8,1,-1,2,-1
6,2022820733,43.0758957,-76.1810869,999.0,-1,1,-1,2,-1
6,699110051,43.0750910,-76.1860128,999.0,-1,1,-1,2,-1
7,699110051,43.0749576,-76.1858875,999.0,-1,1,-1,2,-1
7,1264906701,43.0372308,-76.1299074,100000.0,8,1,-1,2,-1
7,2022820733,43.0757688,-76.1809494,999.0,-1,1,-1,2,-1
8,699110051,43.0748241,-76.1857622,999.0,-1,1,-1,2,-1
8,2022820733,43.0756419,-76.1808119,999.0,-1,1,-1,2,-1
8,1264906701,43.0370704,-76.1298762,100000.0,8,1,-1,2,-1
9,2022820733,43.0755150,-76.1806745,999.0,-1,1,-1,2,-1
9,1264906701,43.0369100,-76.1298450,100000.0,8,1,-1,2,-1
9,699110051,43.0746906,-76.1856370,999.0,-1,1,-1,2,-1
10,699110051,43.0745571,-76.1855118,999.0,-1,1,-1,2,-1
10,1965672243,43.0373110,-76.1350672,100000.0,8,1,-1,2,-1
10,2022820733,43.0753881,-76.1805372,999.0,-1,1,-1,2,-1
10,1264906701,43.0367496,-76.1298138,100000.0,8,1,-1,2,-1
11,1965672243,43.0372227,-76.1348821,100000.0,8,1,-1,2,-1
11,1264906701,43.0365892,-76.1297827,100000.0,8,1,-1,2,-1
11,699110051,43.0744235,-76.1853867,999.0,-1,1,-1,2,-1
11,2022820733,43.0752611,-76.1803999,999.0,-1,1,-1,2,-1
