TimeStep,ID,Latitude,Longitude,Altitude,SignalStrength,CurrentBasestation,finished,Trajectory
1,1737904745,43.0789789,-76.1752739,1,130.4645308,7,1,-1
3,1737904745,43.0786855,-76.1750863,1,130.0803688,7,1,-1
5,1458493498,43.0364621,-76.1332795,1,129.2297573,1,1,-1
7,1458493498,43.0362616,-76.1329325,1,129.5473282,1,1,-1
9,1458493498,43.0360605,-76.1325861,1,129.8634036,1,1,-1
11,60575480,43.0508526,-76.2443105,1,138.2162031,9,1,-1
11,1737904745,43.0775112,-76.1743377,1,128.4269499,7,1,-1
12,60575480,43.0507841,-76.2441103,1,138.1566156,9,1,-1
13,1737904745,43.0772174,-76.1741511,1,127.9809827,7,1,-1
14,1737904745,43.0770705,-76.1740579,1,999,-1,1,-1
15,1458493498,43.035454,-76.1315504,1,130.7981982,1,1,-1
15,757675095,43.0769697,-76.1763842,1,128.1991028,7,1,-1
16,1458493498,43.0353524,-76.1313783,1,999,-1,1,-1
17,60575480,43.0504413,-76.2431094,1,999,-1,1,-1
18,60575480,43.0503727,-76.2429093,1,999,-1,1,-1
19,1458493498,43.0350468,-76.130863,1,131.4069269,1,1,-1
19,234184799,43.0362857,-76.1299656,1,130.3066908,1,1,-1
20,60575480,43.0502353,-76.2425091,1,137.6943449,9,1,-1
21,72524579,43.038138,-76.133262,1,126.8037086,1,1,-1
21,1458493498,43.0348424,-76.1305202,1,999,-1,1,-1
22,1708706542,43.0286127,-76.0379611,1,999,-1,1,-1
23,1737904745,43.0757475,-76.1732212,1,125.5132818,7,1,-1
23,72524579,43.0378153,-76.1332229,1,127.3042497,1,1,-1
24,60575480,43.0499602,-76.2417089,1,137.4745048,9,1,-1
24,1708706542,43.0285706,-76.038399,1,999,-1,1,-1
25,1737904745,43.0754533,-76.1730359,1,124.9649437,7,1,-1
25,72524579,43.0374925,-76.1331839,1,127.7865688,1,1,-1
26,757675095,43.0758346,-76.1745099,1,125.8816272,7,1,-1
27,234184799,43.0353827,-76.128698,1,131.6912018,1,1,-1
27,757675095,43.0757311,-76.1743398,1,125.6597011,7,1,-1
28,1708706542,43.0284863,-76.0392749,1,999,-1,1,-1
28,60575480,43.0496847,-76.240909,1,137.2636496,9,1,-1
29,757675095,43.0755241,-76.1739997,1,125.2111252,7,1,-1
29,72524579,43.0368469,-76.1331063,1,128.7014567,1,1,-1
30,757675095,43.0754205,-76.1738297,1,124.9846964,7,1,-1
31,1458493498,43.0338114,-76.1288164,1,133.1476643,1,1,-1
31,757675095,43.0753169,-76.1736598,1,124.7570154,7,1,-1
31,1947862555,43.0379844,-76.1341113,1,999,-1,1,-1
32,234184799,43.0348137,-76.1279118,1,132.4990095,1,1,-1
32,1737904745,43.074423,-76.172389,1,137.0131066,7,1,-1
33,234184799,43.0346995,-76.1277551,1,132.6556246,1,1,-1
33,60575480,43.0493398,-76.2399095,1,137.0144703,9,1,-1
34,1947862555,43.0374984,-76.1341225,1,127.6001713,1,1,-1
34,1737904745,43.0741285,-76.1722047,1,122.2173845,7,1,-1
35,60575480,43.0492016,-76.2395099,1,136.9197498,9,1,-1
35,1737904745,43.0739812,-76.1721126,1,121.8802855,7,1,-1
35,234184799,43.0344707,-76.1274424,1,132.9641119,1,1,-1
36,234184799,43.034356,-76.1272863,1,133.1160339,1,1,-1
36,757675095,43.0747982,-76.172811,1,123.6060076,7,1,-1
37,1737904745,43.0736866,-76.1719286,1,121.1848778,7,1,-1
37,757675095,43.0746943,-76.1726414,1,123.3748572,7,1,-1
38,234184799,43.0341262,-76.1269748,1,133.4153574,1,1,-1
38,1708706542,43.0282751,-76.0414646,1,999,-1,1,-1
39,234184799,43.0340111,-76.1268194,1,999,-1,1,-1
39,1458493498,43.0329753,-76.1274663,1,134.2317762,1,1,-1
39,72524579,43.0352328,-76.1329143,1,130.7445422,1,1,-1
40,1458493498,43.03287,-76.1272983,1,134.3629769,1,1,-1
40,234184799,43.0338959,-76.1266642,1,133.7088127,1,1,-1
41,72524579,43.0349099,-76.1328763,1,131.1177023,1,1,-1
41,1509440266,43.0377938,-76.1358313,1,127.2676822,1,2,1
41,1947862555,43.0363643,-76.1341485,1,129.1775061,1,2,1
42,1947862555,43.0362023,-76.1341521,1,129.3883256,1,2,1
42,72524579,43.0347485,-76.1328574,1,131.3003853,1,1,-1
43,72524579,43.034587,-76.1328384,1,131.4805644,1,1,-1
43,1458493498,43.0325532,-76.1267958,1,139.883186,8,1,-1
43,234184799,43.0335492,-76.1261997,1,134.1384001,1,1,-1
44,1708706542,43.028148,-76.0427783,1,999,-1,1,-1
44,234184799,43.0334333,-76.1260454,1,134.2788605,1,1,-1
44,60575480,43.0485784,-76.2377123,1,136.5334708,9,1,-1
45,757675095,43.0738617,-76.1712863,1,121.5713177,7,1,-1
45,1458493498,43.0323411,-76.1264618,1,135.0048959,1,1,-1
45,1947862555,43.0357163,-76.1341632,1,130.001417,1,2,1
46,1737904745,43.0723598,-76.1711034,1,117.6841365,7,1,-1
46,1947862555,43.0355543,-76.1341668,1,999,-1,2,1
47,1707145787,43.080854,-76.1754407,1,132.52392,7,1,-1
47,2030645982,43.0277827,-76.0313688,1,999,-1,1,-1
47,72524579,43.0339413,-76.132763,1,132.1775453,1,1,-1
48,72524579,43.0337799,-76.1327443,1,132.3461608,1,1,-1
48,234184799,43.0329682,-76.1254301,1,134.8276021,1,1,-1
48,60575480,43.0483007,-76.2369138,1,999,-1,1,-1
49,234184799,43.0328515,-76.1252768,1,134.9616164,1,1,-1
49,60575480,43.0482312,-76.2367142,1,136.3505911,9,1,-1
49,1737904745,43.0719172,-76.1708294,1,116.3881544,7,1,-1
50,2030645982,43.0276299,-76.0319978,1,999,-1,1,-1
50,757675095,43.0733399,-76.170441,1,120.5641247,7,1,-1
51,998966060,43.0457142,-76.2545534,1,999,-1,1,-1
51,60575480,43.0480921,-76.2363152,1,136.2844526,9,1,-1
51,1708706542,43.0279994,-76.0443109,1,999,-1,1,-1
51,234184799,43.0326177,-76.1249711,1,135.2259802,1,1,-1
52,1458493498,43.0315932,-76.1252996,1,135.865276,1,1,-1
52,799714932,43.0376853,-76.1350452,1,127.217896,1,1,-1
52,2030645982,43.0275279,-76.032417,1,999,-1,1,-1
53,1707145787,43.0799964,-76.174816,1,131.5397638,7,1,-1
53,757675095,43.0730262,-76.1699345,1,120.048189,7,1,-1
53,528871576,43.0791675,-76.1813913,1,132.5214797,7,1,-1
53,234184799,43.0323832,-76.1246662,1,135.4855856,1,1,-1
54,757675095,43.0729216,-76.1697657,1,119.8958615,7,1,-1
54,72524579,43.0328112,-76.1326323,1,133.3147445,1,1,-1
54,1509440266,43.0365706,-76.1334937,1,129.0589868,1,1,-1
55,1947862555,43.0340963,-76.1341996,1,131.8615467,1,2,1
55,234184799,43.032148,-76.1243624,1,135.7405816,1,1,-1
55,1707145787,43.0797104,-76.1746082,1,131.1962837,7,1,-1
55,799714932,43.0372188,-76.1348591,1,127.9283691,1,1,-1
56,2030645982,43.0273235,-76.0332553,1,999,-1,1,-1
56,234184799,43.0320301,-76.1242108,1,135.866396,1,1,-1
56,1947862555,43.0339343,-76.1342032,1,999,-1,2,1
57,1737904745,43.070736,-76.1701011,1,112.8660266,7,1,-1
57,60575480,43.0476742,-76.2351184,1,136.1118042,9,1,-1
57,1509440266,43.0362849,-76.1329576,1,129.518587,1,1,-1
57,799714932,43.0369077,-76.1347355,1,128.382412,1,1,-1
58,60575480,43.0476045,-76.234919,1,136.0869475,9,1,-1
58,1737904745,43.0705883,-76.1700103,1,112.4635733,7,1,-1
58,528871576,43.0783627,-76.1815186,1,131.8647328,7,1,-1
59,1708706542,43.027829,-76.0460624,1,999,-1,1,-1
59,799714932,43.0365965,-76.1346122,1,999,-1,1,-1
59,72524579,43.0320039,-76.13254,1,134.070606,1,1,-1
59,998966060,43.0454928,-76.2528121,1,999,-1,1,-1
60,72524579,43.0318424,-76.1325216,1,134.2166848,1,1,-1
60,1707145787,43.078995,-76.1740897,1,130.3007913,7,1,-1
60,528871576,43.0780408,-76.1815694,1,131.5993021,7,1,-1
61,1707145787,43.0788518,-76.1739862,1,130.115041,7,1,-1
61,998966060,43.0454373,-76.2523768,1,999,-1,1,-1
61,1458493498,43.0306178,-76.1238219,1,136.909502,1,1,-1
61,60575480,43.047395,-76.2343209,1,136.0193725,9,1,-1
62,1737904745,43.0699972,-76.1696478,1,111.133955,7,1,-1
62,1708706542,43.0277649,-76.0467191,1,999,-1,1,-1
62,234184799,43.0313193,-76.1233068,1,138.3326448,8,1,-1
62,528871576,43.0777189,-76.1816201,1,131.3327107,7,1,-1
63,799714932,43.0359739,-76.1343667,1,129.6604514,1,1,-1
63,1737904745,43.0698494,-76.1695573,1,110.9014828,7,1,-1
63,2030645982,43.0269648,-76.0347219,1,999,-1,1,-1
63,923988192,43.0509519,-76.242315,1,137.3510579,9,1,-1
64,1708706542,43.0277222,-76.047157,1,999,-1,1,-1
64,1707145787,43.0784223,-76.1736759,1,129.5436718,7,1,-1
64,1458493498,43.0302891,-76.1233339,1,137.242988,1,1,-1
64,1737904745,43.0697016,-76.1694669,1,110.7205155,7,1,-1
65,1424164685,43.0368508,-76.1324888,1,129.0189247,1,1,-1
65,60575480,43.0471154,-76.2335237,1,135.9460459,9,1,-1
65,1458493498,43.0301791,-76.1231718,1,137.352599,1,1,-1
65,1947862555,43.0324762,-76.1342354,1,133.4917028,1,2,1
66,60575480,43.0470454,-76.2333245,1,135.9307813,9,1,-1
66,998966060,43.0452985,-76.2512886,1,999,-1,1,-1
66,1708706542,43.0276794,-76.0475948,1,999,-1,1,-1
66,1737904745,43.0694058,-76.1692862,1,110.5302507,7,1,-1
67,72524579,43.0307121,-76.1323939,1,135.1960166,1,1,-1
67,998966060,43.0452707,-76.251071,1,999,-1,1,-1
67,1707145787,43.0779925,-76.1733662,1,128.9501323,7,1,-1
67,799714932,43.0353511,-76.1341226,1,130.4501853,1,1,-1
68,234184799,43.0306019,-76.1224125,1,137.6856692,8,1,-1
68,1424164685,43.0366537,-76.1330945,1,129.1316805,1,1,-1
68,72524579,43.0305506,-76.1323758,1,135.3301283,1,1,-1
68,1708706542,43.0276366,-76.0480326,1,999,-1,1,-1
69,2030645982,43.0266562,-76.0359784,1,999,-1,1,-1
69,528871576,43.0765922,-76.1817968,1,999,-1,1,-1
69,72524579,43.0303892,-76.1323577,1,135.4628799,1,1,-1
69,998966060,43.045215,-76.2506357,1,999,-1,1,-1
70,1509440266,43.0350311,-76.1306504,1,131.4801022,1,1,-1
70,2030645982,43.0266047,-76.0361878,1,999,-1,1,-1
70,1947862555,43.0316662,-76.134253,1,134.2368676,1,2,1
70,1708706542,43.0275938,-76.0484704,1,999,-1,1,-1
71,528871576,43.0762702,-76.1818471,1,130.1284899,7,1,-1
71,799714932,43.0347279,-76.1338799,1,131.1962572,1,1,-1
71,234184799,43.0302406,-76.1219693,1,137.3496044,8,1,-1
71,923988192,43.0506607,-76.2405928,1,136.7200115,9,1,-1
71,998966060,43.0451593,-76.2502004,1,999,-1,1,-1
72,1708706542,43.0275509,-76.0489083,1,999,-1,1,-1
72,1737904745,43.0685181,-76.1687456,1,111.372638,7,1,-1
72,528871576,43.0761092,-76.1818722,1,129.9953698,7,1,-1
72,1707145787,43.0772758,-76.172851,1,127.9080738,7,1,-1
73,799714932,43.0344162,-76.1337591,1,131.5543289,1,1,-1
73,1947862555,43.0311802,-76.1342636,1,134.6645055,1,2,1
73,923988192,43.0505878,-76.2401622,1,136.563685,9,1,-1
73,1691499641,43.0804845,-76.1753787,1,132.0372529,7,1,-1
73,1708706542,43.0275295,-76.0491272,1,999,-1,1,-1
74,72524579,43.0295817,-76.1322679,1,136.1071603,1,1,-1
74,799714932,43.0342603,-76.1336988,1,131.7298455,1,1,-1
74,519169945,43.0378628,-76.1342983,1,127.1118173,1,1,-1
74,1708706542,43.027508,-76.0493461,1,999,-1,1,-1
75,2030645982,43.0263466,-76.0372345,1,999,-1,1,-1
75,72524579,43.0294202,-76.13225,1,136.232295,1,1,-1
75,1691499641,43.0804256,-76.174944,1,131.9114114,7,1,-1
75,1509440266,43.0345415,-76.1297705,1,132.2069009,1,1,-1
75,923988192,43.0505148,-76.2397317,1,136.4082122,9,1,-1
76,234184799,43.0296344,-76.1212366,1,136.7692856,8,1,-1
76,519169945,43.0376897,-76.1339248,1,127.4286283,1,1,-1
76,799714932,43.0339485,-76.1335786,1,132.0741313,1,1,-1
76,2030645982,43.0262949,-76.0374438,1,999,-1,1,-1
77,60575480,43.0462736,-76.2311341,1,138.9195403,4,1,-1
77,234184799,43.0295126,-76.121091,1,136.6500223,8,1,-1
77,799714932,43.0337926,-76.1335186,1,132.2430109,1,1,-1
77,519169945,43.0376029,-76.1337383,1,127.5884461,1,1,-1
77,1691499641,43.0803666,-76.1745093,1,131.7924738,7,1,-1
78,1424164685,43.0359933,-76.1351115,1,129.7132885,1,1,-1
78,2030645982,43.0261914,-76.0378623,1,999,-1,1,-1
78,799714932,43.0336366,-76.1334587,1,132.4097852,1,1,-1
78,1947862555,43.0303702,-76.134281,1,135.3476881,1,2,1
79,757675095,43.0702907,-76.1655646,1,120.7141163,7,1,-1
79,60575480,43.0461329,-76.2307361,1,135.8479467,9,1,-1
79,519169945,43.037429,-76.1333655,1,127.9101331,1,1,-1
79,234184799,43.0292683,-76.1208009,1,136.408135,8,1,-1
79,1458493498,43.0286152,-76.1209322,1,136.0314421,8,1,-1
80,1458493498,43.0285017,-76.1207746,1,138.9097125,1,1,-1
80,799714932,43.0333246,-76.1333392,1,132.7372181,1,1,-1
80,1424164685,43.0358606,-76.1355146,1,129.8626612,1,1,-1
80,1707145787,43.0761278,-76.1720298,1,126.0902744,7,1,-1
81,60575480,43.0459921,-76.2303382,1,135.8545489,9,1,-1
81,1917919405,43.0815798,-76.1738904,1,132.9340472,7,2,1
81,757675095,43.070079,-76.1652301,1,121.1094927,7,1,-1
81,1707145787,43.0759843,-76.1719274,1,125.8491479,7,1,-1
81,1053069655,43.0518217,-76.2342419,1,133.0427511,9,1,-1
81,2030645982,43.026036,-76.03849,1,999,-1,1,-1
82,1708706542,43.027336,-76.0510972,1,999,-1,1,-1
82,923988192,43.0502588,-76.2382252,1,135.8731049,9,1,-1
82,528871576,43.0744994,-76.1821222,1,128.7005423,7,1,-1
82,1424164685,43.0357278,-76.1359175,1,130.0213617,1,1,-1
82,1509440266,43.0338488,-76.1285462,1,133.1900285,1,1,-1
83,1947862555,43.0295601,-76.1342982,1,135.997073,1,2,1
83,60575480,43.0458511,-76.2299403,1,135.8663146,9,1,-1
83,1509440266,43.0337491,-76.1283721,1,999,-1,1,-1
83,528871576,43.0743384,-76.182147,1,128.576944,7,1,-1
83,1424164685,43.0356613,-76.1361189,1,130.1039766,1,1,-1
84,1917919405,43.0805466,-76.1744531,1,132.0575107,7,2,1
84,127265642,43.0374013,-76.1294869,1,129.3848293,1,1,-1
84,1737904745,43.0667407,-76.1676708,1,116.3287602,7,1,-1
84,1053069655,43.0517015,-76.2335997,1,132.7974776,9,1,-1
84,998966060,43.0447962,-76.2473716,1,999,-1,1,-1
85,127265642,43.0374542,-76.1292781,1,129.4141128,1,1,-1
85,1458493498,43.0279303,-76.1199919,1,135.2615597,8,1,-1
85,998966060,43.0447682,-76.247154,1,999,-1,1,-1
85,1424164685,43.0355281,-76.1365216,1,130.2752717,1,1,-1
85,2030645982,43.0258283,-76.0393268,1,999,-1,1,-1
85,757675095,43.0696549,-76.1645616,1,135.9535103,7,1,-1
86,528871576,43.0738554,-76.1822215,1,128.2159291,7,1,-1
86,998966060,43.0447402,-76.2469365,1,999,-1,1,-1
86,1424164685,43.0354615,-76.1367229,1,130.3637681,1,1,-1
86,1691499641,43.0801,-76.1725535,1,131.3539145,7,1,-1
86,1509440266,43.0334489,-76.127851,1,133.7326546,1,1,-1
87,519169945,43.0367285,-76.1318787,1,999,-1,1,-1
87,1509440266,43.0333485,-76.1276777,1,133.8660912,1,1,-1
87,2030645982,43.0257242,-76.0397451,1,999,-1,1,-1
87,528871576,43.0736944,-76.1822463,1,128.0993093,7,1,-1
87,72524579,43.0274821,-76.1320384,1,137.647356,1,1,-1
88,1458493498,43.0275842,-76.1195267,1,134.8587122,8,1,-1
88,757675095,43.0693363,-76.1640608,1,122.6378579,7,1,-1
88,234184799,43.028158,-76.1195123,1,135.2596929,8,1,-1
88,923988192,43.0500387,-76.236934,1,135.4300571,9,1,-1
88,998966060,43.0446841,-76.2465013,1,999,-1,1,-1
89,1424164685,43.0352612,-76.1373267,1,130.6395724,1,1,-1
89,528871576,43.0733724,-76.1822958,1,127.8725176,7,1,-1
89,234184799,43.0280335,-76.119371,1,135.1255322,8,1,-1
89,519169945,43.0365521,-76.1315082,1,999,-1,1,-1
89,1053069655,43.0515009,-76.2325294,1,999,-1,1,-1
89,923988192,43.0500019,-76.2367188,1,135.3580257,9,1,-1
90,1917919405,43.0798761,-76.1734927,1,131.2390966,7,2,1
90,1708706542,43.0271635,-76.0528483,1,999,-1,1,-1
90,127265642,43.0377197,-76.1282347,1,129.6069858,1,1,-1
90,1707145787,43.074691,-76.1710085,1,123.5353799,7,1,-1
90,1424164685,43.0351943,-76.1375279,1,999,-1,1,-1
91,1947862555,43.0282641,-76.1343255,1,136.9735306,1,2,1
91,234184799,43.0277838,-76.1190895,1,134.8529437,8,1,-1
91,1917919405,43.0797643,-76.1733328,1,131.1011769,7,2,1
91,1424164685,43.0351274,-76.1377291,1,130.8311646,1,1,-1
91,373889326,43.0267111,-76.0311133,1,999,-1,1,-1
91,998966060,43.0445999,-76.2458486,1,999,-1,1,-1
92,1424164685,43.0350605,-76.1379302,1,130.9290241,1,1,-1
92,1917919405,43.0796524,-76.1731729,1,130.9629185,7,2,1
92,1509440266,43.0328433,-76.1268144,1,134.5199395,1,1,-1
92,1691499641,43.0799212,-76.1712499,1,999,-1,1,-1
92,1947862555,43.0281021,-76.1343289,1,137.0906287,1,2,1
92,998966060,43.0445719,-76.245631,1,999,-1,1,-1
93,2030645982,43.0254114,-76.0409997,1,999,-1,1,-1
93,757675095,43.0688044,-76.1632274,1,123.7890407,7,1,-1
93,72524579,43.026513,-76.1319346,1,138.3013027,1,1,-1
93,799714932,43.031295,-76.1325714,1,134.689356,1,1,-1
93,519169945,43.0361976,-76.1307685,1,130.1660773,1,1,-1
93,373889326,43.0266692,-76.0315513,1,999,-1,1,-1
94,1917919405,43.0794284,-76.1728534,1,130.6855569,7,2,1
94,799714932,43.0311388,-76.132513,1,134.8282832,1,1,-1
94,1737904745,43.0652573,-76.1667818,1,120.4098295,7,1,-1
94,998966060,43.0445156,-76.2451959,1,999,-1,1,-1
94,72524579,43.0263514,-76.1319175,1,138.4071813,1,1,-1
94,1691499641,43.0798615,-76.1708154,1,131.1168322,7,1,-1
95,373889326,43.0266274,-76.0319893,1,999,-1,1,-1
95,1947862555,43.0276161,-76.134339,1,137.4357728,1,2,1
95,1424164685,43.0348593,-76.1385334,1,131.2298931,1,1,-1
95,1708706542,43.0270554,-76.0539426,1,999,-1,1,-1
95,1707145787,43.0739717,-76.1705001,1,122.1460282,7,1,-1
95,127265642,43.037987,-76.1271922,1,129.8718769,1,1,-1
96,2030645982,43.0252546,-76.0416268,1,999,-1,1,-1
96,2008179199,43.0371716,-76.1315763,1,128.6745617,1,1,-1
96,1737904745,43.0649604,-76.1666047,1,134.9892241,7,1,-1
96,72524579,43.0260283,-76.1318832,1,138.6163987,1,1,-1
96,757675095,43.0684847,-76.1627281,1,124.4800615,7,1,-1
96,373889326,43.0266064,-76.0322082,1,999,-1,1,-1
97,1707145787,43.0736838,-76.1702971,1,121.5745364,7,1,-1
97,127265642,43.0380945,-76.1267754,1,129.9960876,1,1,-1
97,234184799,43.0270287,-76.118255,1,133.9987341,8,1,-1
97,373889326,43.0265854,-76.0324272,1,999,-1,1,-1
97,1458493498,43.0265302,-76.1181532,1,133.5687215,8,1,-1
97,60575480,43.044861,-76.2271578,1,136.0894845,9,1,-1
98,528871576,43.0719233,-76.1825176,1,126.9894458,7,1,-1
98,1053069655,43.0511387,-76.2306034,1,131.8017639,9,1,-1
98,1707145787,43.0735398,-76.1701957,1,121.2865232,7,1,-1
98,72524579,43.0257053,-76.1318492,1,138.822318,1,1,-1
98,1458493498,43.0264115,-76.1180028,1,133.4170799,8,1,-1
98,519169945,43.0357514,-76.1298467,1,130.9480711,1,1,-1
99,1707145787,43.0733958,-76.1700944,1,120.9975177,7,1,-1
99,528871576,43.0717622,-76.1825421,1,126.9084675,7,1,-1
99,2030645982,43.0250975,-76.0422537,1,999,-1,1,-1
99,1947862555,43.026968,-76.1343524,1,137.8822608,1,2,1
99,757675095,43.0681645,-76.1622293,1,125.1632479,7,1,-1
99,2008179199,43.0367068,-76.1313827,1,129.326757,1,1,-1
100,1458493498,43.0261732,-76.1177036,1,999,-1,1,-1
100,72524579,43.0253822,-76.1318152,1,138.6271283,8,1,-1
100,757675095,43.0680576,-76.1620631,1,125.3884424,7,1,-1
100,1691499641,43.0796816,-76.1695121,1,131.0444837,7,1,-1
