TimeStep,ID,Latitude,Longitude,finished,level
1,8,43.037,-76.191,1,4
2,8,43.037,-76.191,1,4
3,8,43.038000000000004,-76.191,1,4
4,8,43.038999999999994,-76.191,1,4
5,8,43.038999999999994,-76.191,1,4
6,8,43.04,-76.191,1,4
7,8,43.041000000000004,-76.191,1,4
8,8,43.041000000000004,-76.191,1,4
9,8,43.042,-76.191,1,4
10,8,43.043,-76.191,1,4
11,8,43.043,-76.191,1,4
12,8,43.044,-76.191,1,4
13,8,43.045,-76.191,1,4
14,8,43.04600000000001,-76.191,1,4
15,8,43.04600000000001,-76.191,1,4
16,8,43.047,-76.191,1,4
17,8,43.048,-76.191,1,4
18,8,43.048,-76.191,1,4
19,8,43.049,-76.191,1,4
20,8,43.05,-76.191,1,4
21,8,43.05,-76.191,1,4
22,8,43.051,-76.191,1,4
23,8,43.052,-76.191,1,4
24,8,43.052,-76.191,1,4
25,8,43.053000000000004,-76.191,1,4
26,8,43.053999999999995,-76.191,1,4
27,8,43.053999999999995,-76.191,1,4
28,8,43.055,-76.191,1,4
29,8,43.056000000000004,-76.191,1,4
30,8,43.056999999999995,-76.191,1,4
31,8,43.056999999999995,-76.191,1,4
32,8,43.058,-76.191,1,4
33,8,43.059,-76.191,1,4
34,8,43.059,-76.191,1,4
35,8,43.06,-76.191,1,4
36,8,43.06100000000001,-76.191,1,4
37,8,43.06100000000001,-76.191,1,4
38,8,43.062,-76.191,1,4
39,8,43.063,-76.191,1,4
40,8,43.063,-76.191,1,4
41,8,43.06399999999999,-76.191,1,4
42,8,43.065,-76.191,1,4
43,8,43.065,-76.191,1,4
44,8,43.066,-76.191,1,4
45,8,43.067,-76.191,1,4
46,8,43.067,-76.191,1,4
47,8,43.068000000000005,-76.191,1,4
48,8,43.068999999999996,-76.191,1,4
49,8,43.07,-76.191,1,4
50,8,43.07,-76.191,1,4
51,8,43.071000000000005,-76.191,1,4
52,8,43.071999999999996,-76.191,1,4
53,8,43.071999999999996,-76.191,1,4
54,8,43.073,-76.191,1,4
55,8,43.074,-76.191,1,4
56,8,43.074,-76.191,1,4
57,8,43.075,-76.191,1,4
58,8,43.076,-76.191,1,4
59,8,43.076,-76.191,1,4
60,8,43.077,-76.191,1,4
61,8,43.078,-76.191,1,4
62,8,43.078,-76.191,1,4
63,8,43.07899999999999,-76.191,1,4
64,8,43.08,-76.191,1,4
65,8,43.081,-76.191,1,4
66,8,43.081,-76.191,1,4
67,8,43.082,-76.191,1,4
68,8,43.083,-76.191,1,4
69,8,43.083,-76.191,1,4
70,8,43.083999999999996,-76.191,1,4
71,8,43.085,-76.191,1,4
72,8,43.085,-76.191,1,4
73,8,43.086000000000006,-76.191,1,4
74,8,43.086999999999996,-76.191,1,4
75,8,43.086999999999996,-76.191,1,4
76,8,43.088,-76.191,1,4
77,8,43.089,-76.191,1,4
78,8,43.089,-76.191,1,4
79,8,43.09,-76.191,1,4
80,8,43.091,-76.191,1,4
81,8,43.092,-76.191,1,4
82,8,43.092,-76.191,1,4
83,8,43.093,-76.191,1,4
84,8,43.093999999999994,-76.191,1,4
85,8,43.093999999999994,-76.191,1,4
86,8,43.095,-76.191,1,4
87,8,43.096000000000004,-76.191,1,4
88,8,43.096000000000004,-76.191,1,4
89,8,43.097,-76.191,1,4
90,8,43.098,-76.191,1,4
91,8,43.098,-76.191,1,4
92,8,43.099,-76.191,1,4
93,8,43.1,-76.191,1,4
94,8,43.1,-76.191,1,4
95,8,43.101000000000006,-76.191,1,4
96,8,43.102,-76.191,1,4
97,8,43.103,-76.191,1,4
98,8,43.103,-76.191,1,4
99,8,43.104,-76.191,1,4
100,8,43.105,-76.191,1,4
101,8,43.105,-76.191,1,4
102,8,43.106,-76.191,1,4
103,8,43.107,-76.191,1,4
104,8,43.107,-76.191,1,4
105,8,43.108000000000004,-76.191,1,4
106,8,43.108999999999995,-76.191,1,4
107,8,43.108999999999995,-76.191,1,4
108,8,43.11,-76.191,1,4
109,8,43.111000000000004,-76.191,1,4
110,8,43.111000000000004,-76.191,1,4
111,8,43.111999999999995,-76.191,1,4
112,8,43.113,-76.191,1,4
113,8,43.113,-76.191,1,4
114,8,43.114,-76.191,1,4
115,8,43.115,-76.191,1,4
116,8,43.11600000000001,-76.191,1,4
117,8,43.11600000000001,-76.191,1,4
118,8,43.117,-76.191,1,4
119,8,43.118,-76.191,1,4
120,8,43.118,-76.191,1,4
121,8,43.119,-76.191,1,4
122,8,43.12,-76.191,1,4
123,8,43.12,-76.191,1,4
124,8,43.121,-76.191,1,4
125,8,43.122,-76.191,1,4
126,8,43.122,-76.191,1,4
127,8,43.123000000000005,-76.191,1,4
128,8,43.123999999999995,-76.191,1,4
129,8,43.123999999999995,-76.191,1,4
130,8,43.125,-76.191,1,4
131,8,43.126000000000005,-76.191,1,4
132,8,43.126999999999995,-76.191,1,4
133,8,43.126999999999995,-76.191,1,4
134,8,43.128,-76.191,1,4
135,8,43.129,-76.191,1,4
136,8,43.129,-76.191,1,4
137,8,43.13,-76.191,1,4
138,8,43.131,-76.191,1,4
139,8,43.131,-76.191,1,4
140,8,43.132,-76.191,1,4
141,8,43.133,-76.191,1,4
142,8,43.133,-76.191,1,4
143,8,43.13399999999999,-76.191,1,4
144,8,43.135,-76.191,1,4
145,8,43.135,-76.191,1,4
146,8,43.136,-76.191,1,4
147,8,43.137,-76.191,1,4
148,8,43.138000000000005,-76.191,1,4
149,8,43.138000000000005,-76.191,1,4
150,8,43.138999999999996,-76.191,1,4
151,8,43.14,-76.191,1,4
152,8,43.14,-76.191,1,4
153,8,43.141000000000005,-76.191,1,4
154,8,43.141999999999996,-76.191,1,4
155,8,43.141999999999996,-76.191,1,4
156,8,43.143,-76.191,1,4
157,8,43.144,-76.191,1,4
158,8,43.144,-76.191,1,4
159,8,43.145,-76.191,1,4
160,8,43.146,-76.191,1,4
161,8,43.146,-76.191,1,4
162,8,43.147,-76.191,1,4
163,8,43.148,-76.191,1,4
164,8,43.148999999999994,-76.191,1,4
165,8,43.148999999999994,-76.191,1,4
166,8,43.15,-76.191,1,4
167,8,43.151,-76.191,1,4
168,8,43.151,-76.191,1,4
169,8,43.152,-76.191,1,4
170,8,43.153,-76.191,1,4
171,8,43.153,-76.191,1,4
172,8,43.153999999999996,-76.191,1,4
173,8,43.155,-76.191,1,4
174,8,43.155,-76.191,1,4
175,8,43.156000000000006,-76.191,1,4
176,8,43.157,-76.191,1,4
177,8,43.157,-76.191,1,4
178,8,43.158,-76.191,1,4
179,8,43.159,-76.191,1,4
180,8,43.159,-76.191,1,4
181,8,43.16,-76.191,1,4
182,8,43.161,-76.191,1,4
183,8,43.162,-76.191,1,4
184,8,43.162,-76.191,1,4
185,8,43.163000000000004,-76.191,1,4
186,8,43.163999999999994,-76.191,1,4
187,8,43.163999999999994,-76.191,1,4
188,8,43.165,-76.191,1,4
189,8,43.166000000000004,-76.191,1,4
190,8,43.166000000000004,-76.191,1,4
191,8,43.167,-76.191,1,4
192,8,43.168,-76.191,1,4
193,8,43.168,-76.191,1,4
194,8,43.169,-76.191,1,4
195,8,43.17,-76.191,1,4
196,8,43.17,-76.191,1,4
197,8,43.17100000000001,-76.191,1,4
198,8,43.172,-76.191,1,4
199,8,43.173,-76.191,1,4
200,8,43.173,-76.191,1,4
201,8,43.174,-76.191,1,4
202,8,43.175,-76.191,1,4
203,8,43.175,-76.191,1,4
204,8,43.176,-76.191,1,4
205,8,43.177,-76.191,1,4
206,8,43.177,-76.191,1,4
207,8,43.178000000000004,-76.191,1,4
208,8,43.178999999999995,-76.191,1,4
209,8,43.178999999999995,-76.191,1,4
210,8,43.18,-76.191,1,4
211,8,43.181000000000004,-76.191,1,4
212,8,43.181000000000004,-76.191,1,4
213,8,43.181999999999995,-76.191,1,4
214,8,43.183,-76.191,1,4
215,8,43.184,-76.191,1,4
216,8,43.184,-76.191,1,4
217,8,43.185,-76.191,1,4
218,8,43.18600000000001,-76.191,1,4
219,8,43.18600000000001,-76.191,1,4
220,8,43.187,-76.191,1,4
221,8,43.188,-76.191,1,4
222,8,43.188,-76.191,1,4
223,8,43.18899999999999,-76.191,1,4
224,8,43.19,-76.191,1,4
225,8,43.19,-76.191,1,4
226,8,43.191,-76.191,1,4
227,8,43.192,-76.191,1,4
